ID del Requisito;Versión;Descripción del Requisito;Origen del Requisito;Objetivo del Proyecto;Estado Actual;Entregables Asociados;Criterios de aceptación
REQ-INT-01;1.0;Integración bidireccional de sistemas bajo HL7 FHIR R4;MSP / IESS / Red Privada Complementaria;Conexión segura e interoperable de las unidades de salud de la RPIS.;Solicitado;Plataforma Core de Interoperabilidad Operativa;La integración se valida entre al menos tres actores institucionales (MSP, IESS, red privada); los mensajes conservan estructura y semántica FHIR; APIs y perfiles documentados.
REQ-INT-02;1.0;Exposición de APIs REST/FHIR R4 con documentación OpenAPI 3.0;Equipo Técnico / MSP;Estandarización del intercambio de datos clínicos entre instituciones.;Solicitado;Plataforma Core de Interoperabilidad Operativa;Endpoints disponibles para recursos Patient, Observation, Condition, Encounter, MedicationRequest y DiagnosticReport; documentación OpenAPI publicada; pruebas automatizadas cubren ≥80% de endpoints.
REQ-INT-03;1.0;Implementación de Índice Maestro de Pacientes (MPI) con deduplicación por cédula;MSP / IESS;Identificación única del paciente a lo largo de todos los sistemas integrados.;Solicitado;Plataforma Core de Interoperabilidad Operativa;Algoritmo de deduplicación validado con datos reales; tasa de falsos positivos menor al 1%; cada paciente tiene un identificador único en todo el SINE.
REQ-INT-04;1.0;Rendimiento y disponibilidad del servicio de integración;Equipo Técnico / MSP;Continuidad operacional del sistema de interoperabilidad.;Solicitado;Plataforma Core de Interoperabilidad Operativa;Las consultas FHIR responden en ≤2 segundos (P95) con 500 solicitudes concurrentes; disponibilidad del 99,5% mensual; failover automático ante fallo del nodo primario probado y aprobado.
REQ-HCE-01;1.0;Consolidación de datos clínicos de múltiples fuentes en vista unificada por paciente;Personal Médico / Equipo Técnico;Acceso integral al historial clínico del paciente desde cualquier unidad de salud.;Solicitado;Historia Clínica Electrónica Unificada v1.0;La vista unificada muestra datos provenientes de al menos 3 sistemas (MSP, IESS, red privada); conflictos de reconciliación marcados para revisión; ningún dato se elimina sin validación médica.
REQ-HCE-02;1.0;Búsqueda de pacientes por cédula, nombre y fecha de nacimiento;Personal Médico / Especialistas;Acceso oportuno a la información clínica del paciente en el punto de atención.;Solicitado;Historia Clínica Electrónica Unificada v1.0;Los tres criterios de búsqueda funcionan correctamente; resultados retornados en ≤3 segundos; resultados paginados cuando superen 20 registros.
REQ-HCE-03;1.0;Historial clínico cronológico completo con diagnósticos CIE-10, medicamentos y resultados de laboratorio;Personal Médico / Especialistas;Soporte a la toma de decisiones clínicas con información integral del paciente.;Solicitado;Historia Clínica Electrónica Unificada v1.0;Todas las categorías clínicas visibles en la vista del paciente; línea de tiempo cronológica funcional; códigos CIE-10 desplegados con descripción; imágenes diagnósticas visualizables desde el navegador.
REQ-HCE-04;1.0;Versionado de registros clínicos con trazabilidad de modificaciones;Seguridad / MSP;Integridad y auditoría de la información clínica del paciente.;Solicitado;Historia Clínica Electrónica Unificada v1.0;Cada modificación genera una versión nueva con autor, fecha y justificación; historial de versiones accesible para el auditor; eliminación física bloqueada a nivel de base de datos.
REQ-SEG-01;1.0;Cifrado de datos en tránsito con TLS 1.3 y en reposo con AES-256;Seguridad / MSP / Marco Legal;Protección de la confidencialidad de los datos clínicos sensibles.;Solicitado;Arquitectura Técnica del SINE y Marco Normativo de Seguridad;Prueba de penetración verifica que solo TLS 1.3 está activo; cifrado AES-256 en reposo validado en infraestructura; protocolos anteriores (TLS 1.0, 1.1, SSL) deshabilitados.
REQ-SEG-02;1.0;Control de acceso basado en roles (RBAC) con cinco roles definidos;MSP / Seguridad de la Información;Gestión controlada del acceso a información clínica según perfil del usuario.;Solicitado;Arquitectura Técnica del SINE y Marco Normativo de Seguridad;Roles definidos: Paciente, Médico General, Especialista, Administrador y Auditor; matriz de permisos documentada y aprobada; accesos no autorizados bloqueados y registrados en log de auditoría.
REQ-SEG-03;1.0;Cumplimiento de la Ley Orgánica de Protección de Datos Personales (LOPDP);Legal / MSP;Garantía del ejercicio de derechos de los titulares de datos de salud.;Solicitado;Arquitectura Técnica del SINE y Marco Normativo de Seguridad;Consentimiento informado obtenido antes del procesamiento de datos; solicitudes de acceso, rectificación y supresión atendidas en ≤72 horas; medidas de protección documentadas con revisión legal aprobada.
REQ-SEG-04;1.0;Alertas automáticas ante patrones de acceso anómalos;Equipo de Seguridad;Detección temprana de intentos de acceso no autorizado a datos clínicos.;Solicitado;Arquitectura Técnica del SINE y Marco Normativo de Seguridad;El sistema genera alertas ante más de 10 intentos fallidos de autenticación, acceso desde IP no registrada o consultas masivas fuera del horario institucional (22:00–06:00 UTC-5); notificación al administrador en ≤5 minutos; escenarios de prueba documentados.
REQ-SEG-05;1.0;Plan de Respuesta a Incidentes de Seguridad con notificación a ARCOTEL;Legal / MSP;Gestión formal y oportuna de brechas de datos personales conforme al Art. 40 de la LOPDP.;Solicitado;Arquitectura Técnica del SINE y Marco Normativo de Seguridad;Plan de respuesta documentado y aprobado formalmente; ejercicio de simulación (tabletop exercise) ejecutado; procedimiento de notificación a ARCOTEL en ≤72 horas ante brecha de datos probado y registrado.
